3.664457374313716542e+01,2.263935742088090919e+01,6.044767484966513393e+00,4.364905867492843328e+01,4.211565833410362281e+00,4.890237389231583620e+01,2.060442715193177321e+01,5.780491684631532401e+00,3.103375396679086684e+00,3.085040822613642675e+01
1.464838834599809125e+01,1.344504694534694167e+01,2.652935623115059371e+01,7.871471816291981227e+00,2.863531533199093460e+01,2.116605388501046647e+01,5.782358171033904171e+01,3.803233077840042142e+01,3.265598281049457796e+01,5.651802819645129006e+01
3.788914897258008097e+01,4.159454571265307976e+01,3.489478839234244845e+01,4.682481146145471484e+01,2.655744679840029221e+01,4.379637130623098074e+01,3.846325258179172124e+01,5.067869537504990518e+01,1.262994323679152053e+01,4.822692798109305556e+01
3.835536743916789781e-01,3.614809149396622701e+01,3.652870406437089912e+01,2.127582541223655710e+01,3.285723212990200892e+01,4.285955765453712019e+01,1.479695729915819413e+01,4.814873907139880771e+01,1.909260316021008563e+01,2.801924823316630864e+01
1.125979884493303551e+01,3.378433444508179662e+01,4.115699270733458803e+01,1.059193315452800199e+01,4.853304959430512611e+01,8.932260838612444687e+00,1.925708835555182574e+01,9.893245317651562232e+00,5.773456572926210839e+01,3.622262464000823456e+01
2.760189275404346887e+01,4.146100671733188392e+01,4.686158879532367649e+01,1.805532535309327002e+01,2.225119631875253390e+01,4.350820738159589141e+00,1.355485291522959557e+01,2.064386553520276024e+01,4.040964638385988650e+01,4.795093468711511520e+01
4.699445450347822373e+01,4.677060972945815820e+01,2.241901043946345595e+01,4.853651233021360412e+01,1.651868923585196569e+01,1.734813633023710011e+01,8.390733600435680728e+00,4.266674083335811929e+01,1.533500360730266010e+01,1.408490121568777020e+01
4.518562783993039034e+01,1.251720135455104632e+01,5.391855351496826643e+01,3.561519130700576596e+01,4.518421716753453055e+00,2.861601879026749629e+01,1.827365132662079006e+01,5.407152279483312896e+01,2.919361169197314254e+01,5.734437895444904143e+01
3.630457142283382410e+01,7.641466375938678723e+00,3.294360936629545478e+01,4.843584469595595721e+01,5.284788895188479785e+01,2.107619274783267116e+01,5.266403227375836593e+01,3.545462611293726241e+01,3.431442061814727396e+01,3.110279027600760671e+01
4.369542994770537803e+01,2.200564762403029917e+01,7.139287636522713143e+00,4.016234565115182065e+00,4.868346075831573927e+01,2.753498784624339635e+01,5.133946081792531402e+01,5.873057440979587795e+01,1.543223294134457291e+01,5.458267675800919960e+01
1.554013417721252743e+01,1.667311293474280021e+01,2.245407399242832369e+01,1.650809651975578873e+01,8.224903678616497515e+00,1.518158589163340899e+00,5.467173448027078564e+01,5.119834689374329173e+01,9.982630016143301255e-01,2.488407495075353992e+01
6.256690801056608464e+00,2.173060235063099910e+01,4.367039276143989923e+01,3.031796583987235039e+01,3.580699845842834605e+01,3.648826088389187561e+01,2.091231087774442088e+01,1.668619690866946925e+01,3.120836005849212214e+01,3.363215292974755499e+01
5.476966048522343300e+01,5.259647064029554286e+01,5.524911032269877609e+01,5.040196927374431368e+00,5.434624834218608669e+01,1.650510080138424129e+01,4.084525821012164926e+01,5.252981028214584569e+01,4.053297981059353461e+00,1.718698175244556481e+01
2.260657674187886457e+01,2.849996152971014496e+01,4.119331861851291521e+00,2.579604929708878203e+01,4.273822624206508181e+01,2.910063395636866002e+00,2.792045637640372391e-01,6.343178814640968000e+00,4.043118403708332664e+01,1.387635340097905789e+00
4.727783609590894542e+01,3.546376688809134947e+01,3.831103286902147431e+01,4.989020683665464873e+01,2.109589790991186575e+01,2.332175852028791496e+01,3.244284019487299275e+01,5.706262788272398723e+01,5.179591965488999250e+01,9.223312322854528844e+00
